Resistance,Frequency_Hz,Vs_Vpp,VR_Vpp,Gain,Run
22,1000,2.06,0.076,0.036893203883495145,1
22,1500,2.02,0.128,0.06336633663366337,1
22,2000,1.9,0.204,0.10736842105263157,1
22,2300,1.77,0.264,0.14915254237288136,1
22,2500,1.62,0.314,0.19382716049382714,1
22,2600,1.52,0.344,0.2263157894736842,1
22,2700,1.42,0.364,0.2563380281690141,1
22,2800,1.3,0.388,0.29846153846153844,1
22,2850,1.24,0.402,0.3241935483870968,1
22,2900,1.2,0.408,0.33999999999999997,1
22,2950,1.16,0.416,0.3586206896551724,1
22,3000,1.14,0.418,0.3666666666666667,1
22,3025,1.1,0.42,0.3818181818181818,1
22,3050,1.1,0.424,0.38545454545454544,1
22,3075,1.09,0.426,0.39082568807339446,1
22,3100,1.08,0.426,0.39444444444444443,1
22,3125,1.08,0.426,0.39444444444444443,1
22,3150,1.09,0.424,0.38899082568807336,1
22,3175,1.1,0.424,0.38545454545454544,1
22,3200,1.1,0.422,0.3836363636363636,1
22,3225,1.11,0.42,0.37837837837837834,1
22,3250,1.12,0.418,0.37321428571428567,1
22,3275,1.14,0.416,0.3649122807017544,1
22,3300,1.14,0.416,0.3649122807017544,1
22,3325,1.16,0.412,0.35517241379310344,1
22,3350,1.18,0.41,0.3474576271186441,1
22,3375,1.21,0.408,0.3371900826446281,1
22,3400,1.22,0.404,0.3311475409836066,1
22,3450,1.26,0.392,0.3111111111111111,1
22,3500,1.3,0.39,0.3,1
22,3600,1.38,0.372,0.26956521739130435,1
22,3800,1.5,0.334,0.22266666666666668,1
22,4000,1.62,0.306,0.18888888888888888,1
22,4500,1.76,0.244,0.13863636363636364,1
22,5000,1.86,0.204,0.1096774193548387,1
22,1000,2.06,0.08,0.038834951456310676,2
22,1500,1.98,0.128,0.06464646464646465,2
22,2000,1.88,0.204,0.10851063829787234,2
22,2300,1.74,0.266,0.15287356321839082,2
22,2500,1.61,0.316,0.19627329192546583,2
22,2600,1.52,0.346,0.2276315789473684,2
22,2700,1.41,0.368,0.26099290780141843,2
22,2800,1.3,0.392,0.30153846153846153,2
22,2850,1.24,0.404,0.3258064516129032,2
22,2900,1.19,0.41,0.3445378151260504,2
22,2950,1.14,0.416,0.3649122807017544,2
22,3000,1.12,0.418,0.37321428571428567,2
22,3025,1.1,0.42,0.3818181818181818,2
22,3050,1.1,0.422,0.3836363636363636,2
22,3075,1.1,0.424,0.38545454545454544,2
22,3100,1.1,0.424,0.38545454545454544,2
22,3125,1.1,0.424,0.38545454545454544,2
22,3150,1.1,0.424,0.38545454545454544,2
22,3175,1.1,0.422,0.3836363636363636,2
22,3200,1.1,0.42,0.3818181818181818,2
22,3225,1.1,0.418,0.37999999999999995,2
22,3250,1.12,0.416,0.3714285714285714,2
22,3275,1.14,0.416,0.3649122807017544,2
22,3300,1.14,0.412,0.36140350877192984,2
22,3325,1.17,0.41,0.3504273504273504,2
22,3350,1.18,0.408,0.34576271186440677,2
22,3375,1.19,0.404,0.33949579831932775,2
22,3400,1.22,0.404,0.3311475409836066,2
22,3450,1.26,0.392,0.3111111111111111,2
22,3500,1.3,0.384,0.29538461538461536,2
22,3600,1.38,0.368,0.26666666666666666,2
22,3800,1.44,0.328,0.2277777777777778,2
22,4000,1.62,0.304,0.1876543209876543,2
22,4500,1.78,0.244,0.13707865168539327,2
22,5000,1.86,0.202,0.1086021505376344,2
47,1000,2.06,0.144,0.06990291262135921,1
47,1500,1.98,0.224,0.11313131313131314,1
47,2000,1.84,0.344,0.1869565217391304,1
47,2300,1.7,0.44,0.25882352941176473,1
47,2500,1.58,0.504,0.3189873417721519,1
47,2600,1.52,0.536,0.35263157894736846,1
47,2700,1.46,0.56,0.3835616438356165,1
47,2800,1.38,0.584,0.42318840579710143,1
47,2850,1.35,0.592,0.4385185185185185,1
47,2900,1.32,0.6,0.45454545454545453,1
47,2950,1.3,0.608,0.4676923076923077,1
