Resistance_Ohm,Frequency_Hz,Vs_Vpp,VR_Vpp,Gain,Gain_Recomputed,Gain_Error
22,1000,2.06,0.08,0.03883,0.038834951456310676,-4.9514563106728415e-06
22,1500,1.98,0.128,0.06465,0.06464646464646465,3.5353535353527255e-06
22,2000,1.88,0.204,0.10851,0.10851063829787234,-6.382978723490362e-07
22,2300,1.74,0.266,0.15287,0.15287356321839082,-3.563218390817413e-06
22,2500,1.61,0.316,0.19627,0.19627329192546583,-3.291925465831458e-06
22,2600,1.52,0.346,0.22763,0.2276315789473684,-1.5789473684080235e-06
22,2700,1.41,0.368,0.26099,0.26099290780141843,-2.9078014184280576e-06
22,2800,1.3,0.392,0.30154,0.30153846153846153,1.5384615384417266e-06
22,2850,1.24,0.404,0.32581,0.3258064516129032,3.548387096763417e-06
22,2900,1.19,0.41,0.34454,0.3445378151260504,2.184873949595545e-06
22,2950,1.14,0.416,0.36491,0.3649122807017544,-2.2807017543979846e-06
22,3000,1.12,0.418,0.37321,0.37321428571428567,-4.285714285678921e-06
22,3025,1.1,0.42,0.38182,0.3818181818181818,1.8181818182139153e-06
22,3050,1.1,0.422,0.38364,0.3836363636363636,3.6363636363723195e-06
22,3075,1.1,0.424,0.38545,0.38545454545454544,-4.545454545423766e-06
22,3100,1.1,0.424,0.38545,0.38545454545454544,-4.545454545423766e-06
22,3125,1.1,0.424,0.38545,0.38545454545454544,-4.545454545423766e-06
22,3150,1.1,0.424,0.38545,0.38545454545454544,-4.545454545423766e-06
22,3175,1.1,0.422,0.38364,0.3836363636363636,3.6363636363723195e-06
22,3200,1.1,0.42,0.38182,0.3818181818181818,1.8181818182139153e-06
22,3225,1.1,0.418,0.38,0.37999999999999995,5.551115123125783e-17
22,3250,1.12,0.416,0.37143,0.3714285714285714,1.4285714285966478e-06
22,3275,1.14,0.416,0.36491,0.3649122807017544,-2.2807017543979846e-06
22,3300,1.14,0.412,0.3614,0.36140350877192984,-3.508771929838783e-06
