Run,Resistance,R_hidden_Ohm,L_eff_H,L_eff_mH,C_eff_F,C_eff_nF,f0_eff_Hz,RMSE,Fit_Success
1,22,34.335943161385224,0.01078076364508326,10.78076364508326,2.3992747755462247e-07,239.92747755462247,3129.3589058009543,0.0032506597697261374,True
2,22,34.62721599184786,0.010611122998565939,10.61112299856594,2.447317176977061e-07,244.7317176977061,3123.1606783514126,0.002941102556963683,True
1,47,48.514862834522205,0.012618503988155333,12.618503988155334,2.0430365705864345e-07,204.30365705864347,3134.5711107532557,0.002556995046851873,True
2,47,47.20722620534636,0.01231476656259599,12.31476656259599,2.0774718667318396e-07,207.74718667318396,3146.5849716866383,0.004885798052367277,True
1,100,56.1777448512269,0.012507852300304817,12.507852300304817,2.0659941787004317e-07,206.59941787004317,3130.8640711095186,0.004505396824374595,True
2,100,54.66596464705362,0.012318485569128512,12.318485569128512,2.0569243352548764e-07,205.69243352548764,3161.7848484777364,0.005378832344222469,True
1,150,64.0827144757956,0.012994336303307527,12.994336303307527,2.031442104950035e-07,203.14421049500348,3097.710697865321,0.004252006623211955,True
2,150,59.96122696368711,0.012731942584764372,12.731942584764372,1.9893151255239656e-07,198.93151255239655,3162.430599209419,0.004586300331768378,True
1,200,67.85103242995991,0.012506510769181882,12.506510769181881,2.0955160946032551e-07,209.55160946032552,3108.8985516494276,0.00424439782270374,True
2,200,67.15671687338713,0.012325343883086039,12.325343883086038,2.077622702371082e-07,207.7622702371082,3145.12034499166,0.0038780665284208595,True
1,270,34.020138515878976,0.011227552239548006,11.227552239548006,2.2688792705305757e-07,226.88792705305758,3153.347957616136,0.004474197873736429,True
2,270,33.86132206613209,0.010841958969145714,10.841958969145713,2.307653356381239e-07,230.7653356381239,3181.8592597118577,0.004299168745215952,True
1,330,32.70432826421458,0.011388683275172687,11.388683275172687,2.2747380925588144e-07,227.47380925588143,3126.9265060265066,0.003088259948692747,True
2,330,32.43733146927082,0.011288573383976737,11.288573383976738,2.2405489224691022e-07,224.0548922469102,3164.633242532562,0.0033899989025108312,True
1,470,32.43157861199456,0.010882867389901147,10.882867389901147,2.3273335784356275e-07,232.73335784356274,3162.417067923804,0.0035734623409953816,True
2,470,38.6636413835866,0.01036421076111094,10.36421076111094,2.384451153440667e-07,238.44511534406672,3201.5316426810195,0.0037126515575701233,True
2,510,34.23096550438741,0.011405001432504704,11.405001432504704,2.2943412596587182e-07,229.43412596587183,3111.311197234707,0.002292650448241219,True
