Resistance_Ohm,Frequency_Hz,Vs_Vpp,VR_Vpp,Gain
22,1000,2.06,0.076,0.03689
22,1500,2.02,0.128,0.06337
22,2000,1.9,0.204,0.10737
22,2300,1.77,0.264,0.14915
22,2500,1.62,0.314,0.19383
22,2600,1.52,0.344,0.22632
22,2700,1.42,0.364,0.25634
22,2800,1.3,0.388,0.29846
22,2850,1.24,0.402,0.32419
22,2900,1.2,0.408,0.34
22,2950,1.16,0.416,0.35862
22,3000,1.14,0.418,0.36667
22,3025,1.1,0.42,0.38182
22,3050,1.1,0.424,0.38545
22,3075,1.09,0.426,0.39083
22,3100,1.08,0.426,0.39444
22,3125,1.08,0.426,0.39444
22,3150,1.09,0.424,0.38899
22,3175,1.1,0.424,0.38545
22,3200,1.1,0.422,0.38364
22,3225,1.11,0.42,0.37838
22,3250,1.12,0.418,0.37321
22,3275,1.14,0.416,0.36491
22,3300,1.14,0.416,0.36491
22,3325,1.16,0.412,0.35517
22,3350,1.18,0.41,0.34746
22,3375,1.21,0.408,0.33719
22,3400,1.22,0.404,0.33115
22,3450,1.26,0.392,0.31111
22,3500,1.3,0.39,0.3
22,3600,1.38,0.372,0.26957
22,3800,1.5,0.334,0.22267
22,4000,1.62,0.306,0.18889
22,4500,1.76,0.244,0.13864
22,5000,1.86,0.204,0.10968
47,1000,2.06,0.144,0.0699
47,1500,1.98,0.224,0.11313
47,2000,1.84,0.344,0.18696
47,2300,1.7,0.44,0.25882
47,2500,1.58,0.504,0.31899
47,2600,1.52,0.536,0.35263
47,2700,1.46,0.56,0.38356
47,2800,1.38,0.584,0.42319
47,2850,1.35,0.592,0.43852
47,2900,1.32,0.6,0.45455
47,2950,1.3,0.608,0.46769
47,3000,1.27,0.616,0.48504
47,3025,1.26,0.616,0.48889
47,3050,1.26,0.616,0.48889
47,3075,1.26,0.62,0.49206
47,3100,1.26,0.62,0.49206
47,3125,1.26,0.616,0.48889
47,3150,1.26,0.616,0.48889
47,3175,1.26,0.616,0.48889
