Resistance,Frequency_Hz,Vs_Vpp,VR_Vpp
22,1000,2.06,0.08
22,1500,1.98,0.128
22,2000,1.88,0.204
22,2300,1.74,0.266
22,2500,1.61,0.316
22,2600,1.52,0.346
22,2700,1.41,0.368
22,2800,1.3,0.392
22,2850,1.24,0.404
22,2900,1.19,0.41
22,2950,1.14,0.416
22,3000,1.12,0.418
22,3025,1.1,0.42
22,3050,1.1,0.422
22,3075,1.1,0.424
22,3100,1.1,0.424
22,3125,1.1,0.424
22,3150,1.1,0.424
22,3175,1.1,0.422
22,3200,1.1,0.42
22,3225,1.1,0.418
22,3250,1.12,0.416
22,3275,1.14,0.416
22,3300,1.14,0.412
22,3325,1.17,0.41
22,3350,1.18,0.408
22,3375,1.19,0.404
22,3400,1.22,0.404
22,3450,1.26,0.392
22,3500,1.3,0.384
22,3600,1.38,0.368
22,3800,1.44,0.328
22,4000,1.62,0.304
22,4500,1.78,0.244
22,5000,1.86,0.202
47,1000,2.06,0.162
47,1500,1.98,0.266
47,2000,1.86,0.36
47,2300,1.74,0.444
47,2500,1.62,0.504
47,2600,1.54,0.54
47,2700,1.46,0.568
47,2800,1.38,0.592
47,2850,1.34,0.6
47,2900,1.33,0.608
47,2950,1.3,0.616
47,3000,1.28,0.624
47,3025,1.26,0.624
47,3050,1.26,0.624
47,3075,1.26,0.624
47,3100,1.26,0.624
47,3125,1.26,0.624
47,3150,1.26,0.628
47,3175,1.26,0.624
47,3200,1.26,0.624
47,3225,1.26,0.624
47,3250,1.26,0.62
47,3275,1.26,0.616
47,3300,1.26,0.616
47,3325,1.28,0.616
47,3350,1.3,0.608
47,3375,1.3,0.604
47,3400,1.3,0.604
47,3450,1.32,0.596
47,3500,1.34,0.592
47,3600,1.38,0.568
47,3800,1.5,0.532
47,4000,1.58,0.488
47,4500,1.74,0.4
47,5000,1.82,0.344
100,1000,2.02,0.304
100,1500,1.94,0.456
100,2000,1.82,0.648
100,2300,1.7,0.768
100,2500,1.64,0.84
100,2600,1.58,0.868
100,2700,1.54,0.896
100,2800,1.5,0.912
100,2850,1.5,0.92
100,2900,1.5,0.932
100,2950,1.5,0.936
100,3000,1.5,0.944
100,3025,1.49,0.944
100,3050,1.46,0.944
100,3075,1.46,0.948
100,3100,1.46,0.948
100,3125,1.46,0.948
100,3150,1.46,0.95
100,3175,1.46,0.95
100,3200,1.46,0.948
100,3225,1.46,0.944
100,3250,1.46,0.944
100,3275,1.46,0.944
100,3300,1.46,0.944
100,3325,1.48,0.944
100,3350,1.5,0.94
100,3375,1.5,0.936
100,3400,1.5,0.936
100,3450,1.5,0.928
100,3500,1.5,0.92
100,3600,1.5,0.904
100,3800,1.54,0.88
100,4000,1.62,0.828
100,4500,1.7,0.72
100,5000,1.78,0.636
150,1000,2.02,0.44
150,1500,1.94,0.604
150,2000,1.82,0.86
150,2300,1.74,0.976
150,2500,1.66,1.04
150,2600,1.66,1.07
150,2700,1.64,1.095
150,2800,1.62,1.1
150,2850,1.62,1.115
150,2900,1.61,1.12
150,2950,1.59,1.12
150,3000,1.59,1.125
150,3025,1.58,1.125
150,3050,1.58,1.13
150,3075,1.58,1.13
150,3100,1.58,1.13
150,3125,1.58,1.13
150,3150,1.58,1.13
150,3175,1.58,1.13
150,3200,1.58,1.13
150,3225,1.58,1.13
150,3250,1.58,1.125
150,3275,1.58,1.12
150,3300,1.58,1.12
150,3325,1.58,1.12
150,3350,1.58,1.12
150,3375,1.58,1.12
150,3400,1.58,1.12
150,3450,1.58,1.11
150,3500,1.59,1.1
150,3600,1.62,1.095
150,3800,1.63,1.065
150,4000,1.66,1.025
150,4500,1.71,0.92
150,5000,1.78,0.84
200,1000,2.02,0.576
200,1500,1.94,0.808
200,2000,1.82,1.04
200,2300,1.76,1.13
200,2500,1.72,1.18
200,2600,1.7,1.2
200,2700,1.7,1.215
200,2800,1.69,1.23
200,2850,1.67,1.235
200,2900,1.66,1.24
200,2950,1.66,1.24
200,3000,1.66,1.24
200,3025,1.66,1.24
200,3050,1.66,1.24
200,3075,1.66,1.24
200,3100,1.66,1.24
200,3125,1.66,1.24
200,3150,1.66,1.24
200,3175,1.66,1.24
200,3200,1.66,1.24
200,3225,1.66,1.24
200,3250,1.66,1.24
200,3275,1.66,1.24
200,3300,1.66,1.24
200,3325,1.66,1.24
200,3350,1.66,1.24
200,3375,1.66,1.24
200,3400,1.66,1.23
200,3450,1.66,1.23
200,3500,1.66,1.23
200,3600,1.67,1.215
200,3800,1.7,1.195
200,4000,1.7,1.16
200,4500,1.74,1.08
200,5000,1.78,0.996
270,1000,2.01,0.78
270,1500,1.9,1.1
270,2000,1.82,1.32
270,2300,1.78,1.44
270,2500,1.78,1.48
270,2600,1.76,1.5
270,2700,1.74,1.52
270,2800,1.74,1.54
270,2850,1.74,1.54
270,2900,1.74,1.54
270,2950,1.74,1.54
270,3000,1.74,1.54
270,3025,1.74,1.54
270,3050,1.74,1.54
270,3075,1.74,1.54
270,3100,1.74,1.54
270,3125,1.74,1.54
270,3150,1.74,1.54
270,3175,1.74,1.54
270,3200,1.74,1.54
270,3225,1.74,1.54
270,3250,1.74,1.54
270,3275,1.74,1.54
270,3300,1.74,1.54
270,3325,1.74,1.54
270,3350,1.74,1.54
270,3375,1.74,1.54
270,3400,1.74,1.54
270,3450,1.74,1.54
270,3500,1.74,1.54
270,3600,1.74,1.52
270,3800,1.74,1.5
270,4000,1.74,1.48
270,4500,1.78,1.42
270,5000,1.81,1.33
330,1000,1.99,0.9
330,1500,1.91,1.22
330,2000,1.86,1.44
330,2300,1.82,1.54
330,2500,1.78,1.57
330,2600,1.78,1.58
330,2700,1.78,1.58
330,2800,1.78,1.6
330,2850,1.78,1.61
330,2900,1.78,1.62
330,2950,1.78,1.62
330,3000,1.78,1.62
330,3025,1.78,1.62
330,3050,1.78,1.62
330,3075,1.78,1.62
330,3100,1.78,1.62
330,3125,1.78,1.62
330,3150,1.78,1.62
330,3175,1.78,1.62
330,3200,1.78,1.62
330,3225,1.78,1.62
330,3250,1.78,1.62
330,3275,1.78,1.62
330,3300,1.78,1.62
330,3325,1.78,1.62
